danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.522,0.833,0,-3.715,1,0.0575,0.0454,0.0,0.127,0.29600000000000004,180.009
0.795,0.56,1,-5.773,1,0.0479,0.184,0.0,0.158,0.459,136.988
0.764,0.6579999999999999,11,-4.047,0,0.0757,0.536,3.8e-06,0.0663,0.682,136.952
0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063
0.958,0.705,1,-4.916,1,0.16699999999999998,0.204,2.02e-05,0.115,0.516,124.997
0.889,0.385,11,-11.767,0,0.165,0.00544,0.0,0.274,0.235,125.995
0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024
0.478,0.735,0,-4.7860000000000005,1,0.482,0.598,0.0,0.107,0.625,76.237
0.478,0.735,0,-4.7860000000000005,1,0.482,0.598,0.0,0.107,0.625,76.237
0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329
0.871,0.44,11,-6.25,0,0.0761,0.499,4.15e-06,0.114,0.799,137.996
0.759,0.675,9,-5.148,0,0.313,0.228,0.0,0.15,0.328,89.64200000000002
0.759,0.675,9,-5.148,0,0.313,0.228,0.0,0.15,0.328,89.64200000000002
0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329
0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329
0.765,0.6709999999999999,9,-5.249,0,0.278,0.344,0.0,0.0506,0.7979999999999999,84.5
0.85,0.569,5,-8.152000000000001,0,0.136,0.0609,0.0816,0.1,0.294,80.02
0.758,0.574,11,-6.8889999999999985,0,0.0572,0.46,0.00272,0.102,0.261,151.985
0.614,0.684,0,-5.79,1,0.157,0.247,0.0,0.0976,0.258,156.85
0.585,0.597,0,-7.499,1,0.037000000000000005,0.339,0.0404,0.195,0.227,100.051
0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511
0.7759999999999999,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.03799999999995
0.792,0.5710000000000001,8,-7.539,0,0.094,0.301,0.0,0.1,0.556,99.999
0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735
0.585,0.597,0,-7.499,1,0.037000000000000005,0.339,0.0404,0.195,0.227,100.051
0.585,0.597,0,-7.499,1,0.037000000000000005,0.339,0.0404,0.195,0.227,100.051
0.585,0.597,0,-7.499,1,0.037000000000000005,0.339,0.0404,0.195,0.227,100.051
0.585,0.597,0,-7.499,1,0.037000000000000005,0.339,0.0404,0.195,0.227,100.051
0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.8390000000000001,177.928
0.7759999999999999,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.03799999999995
0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735
0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.8390000000000001,177.928
0.826,0.773,11,-4.218,0,0.0524,0.32299999999999995,0.0,0.14300000000000002,0.7609999999999999,126.899
0.7759999999999999,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.03799999999995
0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.8390000000000001,177.928
0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511
0.7140000000000001,0.828,3,-4.663,1,0.0598,0.00514,0.154,0.32,0.208,124.034
0.624,0.68,9,-7.285,0,0.0421,0.114,6.78e-05,0.0614,0.117,91.998
0.8170000000000001,0.7759999999999999,6,-4.976,1,0.303,0.0453,0.0,0.158,0.718,124.03
0.618,0.74,8,-7.159,0,0.0375,0.343,0.00583,0.436,0.251,127.988
0.645,0.7879999999999999,1,-5.322,1,0.0348,0.00194,0.0252,0.0657,0.249,128.023
0.511,0.928,1,-5.787000000000001,1,0.0648,0.00556,0.0,0.0605,0.195,133.90200000000002
0.6609999999999999,0.758,7,-5.299,1,0.0864,0.0797,0.0,0.106,0.387,114.098
0.563,0.81,2,-2.9210000000000003,1,0.0522,0.005220000000000001,0.0,0.0846,0.495,129.975
0.545,0.974,11,-5.997999999999998,0,0.0359,0.000134,0.826,0.19,0.461,127.999
0.628,0.964,8,-5.9289999999999985,1,0.129,0.0756,0.861,0.442,0.0231,124.996
0.755,0.557,0,-7.985,0,0.0373,0.257,0.0524,0.103,0.21,109.983
0.8859999999999999,0.84,2,-3.386,1,0.0502,0.0164,0.006220000000000001,0.329,0.203,123.035
