Owner,Track ID,Tracks,Artists,Albums,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Kev,7Haw35LoOZOiKUyvJASS6K,I Got Now,BrvndonP,I Got Now,0.764,0.6579999999999999,11,-4.047,0,0.0757,0.536,3.8e-06,0.0663,0.682,136.952
Kev,3UmaczJpikHgJFyBTAJVoz,Stan,Eminem,The Marshall Mathers LP,0.78,0.768,6,-4.325,0,0.23800000000000002,0.0371,2.34e-06,0.518,0.507,80.063
Kev,2ZLSnT49tvHVEhrhsrw483,Frostbite (Remix) (feat. Offset & Rich The Kid),Preme,Frostbite (Remix) (feat. Offset & Rich The Kid),0.958,0.705,1,-4.916,1,0.16699999999999998,0.204,2.02e-05,0.115,0.516,124.99700000000001
Kev,1Jl21sidRpEdlVBvYbssLx,Sin (feat. Jaden Smith),Young Thug,On The Rvn,0.889,0.385,11,-11.767000000000001,0,0.165,0.0054399999999999995,0.0,0.27399999999999997,0.235,125.995
Kev,14mHfNsSHN0FbLftyjrV9g,Leave Me Alone,Flipp Dinero,Leave Me Alone,0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024
Kev,2GyYEekbHauEVHmtyi8AXL,The Story Of Adidon (Remix),Ombre2Choc Nation,The Story Of Adidon (Remix),0.478,0.735,0,-4.7860000000000005,1,0.48200000000000004,0.598,0.0,0.107,0.625,76.237
Kev,2GyYEekbHauEVHmtyi8AXL,The Story Of Adidon (Remix),Ombre2Choc Nation,The Story Of Adidon (Remix),0.478,0.735,0,-4.7860000000000005,1,0.48200000000000004,0.598,0.0,0.107,0.625,76.237
Kev,35srNkJVToAzYiZzron1FY,Young Forever,JAY-Z,The Blueprint 3,0.637,0.69,9,-3.214,0,0.0693,0.41700000000000004,0.0,0.21100000000000002,0.10300000000000001,140.329
Kev,5FEXPoPnzueFJQCPRIrC3c,Day 'N' Nite (nightmare),Kid Cudi,Man On The Moon: The End Of Day,0.871,0.44,11,-6.25,0,0.0761,0.499,4.15e-06,0.114,0.799,137.996
Kev,5ljCWsDlSyJ41kwqym2ORw,03' Bonnie & Clyde,JAY-Z,The Blueprint 2 The Gift & The Curse,0.759,0.675,9,-5.148,0,0.313,0.228,0.0,0.15,0.32799999999999996,89.64200000000001
Kev,5ljCWsDlSyJ41kwqym2ORw,03' Bonnie & Clyde,JAY-Z,The Blueprint 2 The Gift & The Curse,0.759,0.675,9,-5.148,0,0.313,0.228,0.0,0.15,0.32799999999999996,89.64200000000001
Kev,35srNkJVToAzYiZzron1FY,Young Forever,JAY-Z,The Blueprint 3,0.637,0.69,9,-3.214,0,0.0693,0.41700000000000004,0.0,0.21100000000000002,0.10300000000000001,140.329
Kev,35srNkJVToAzYiZzron1FY,Young Forever,JAY-Z,The Blueprint 3,0.637,0.69,9,-3.214,0,0.0693,0.41700000000000004,0.0,0.21100000000000002,0.10300000000000001,140.329
Kev,63BcfK6YAzJYeISaTPr6IO,Big Poppa - 2007 Remaster,The Notorious B.I.G.,Greatest Hits,0.765,0.6709999999999999,9,-5.249,0,0.278,0.344,0.0,0.0506,0.7979999999999999,84.5
Kev,7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,TESTING,0.85,0.569,5,-8.152000000000001,0,0.136,0.0609,0.0816,0.1,0.294,80.02
Kev,0OgGn1ofaj55l2PcihQQGV,Drew Barrymore,Bryce Vine,Drew Barrymore,0.758,0.574,11,-6.888999999999999,0,0.0572,0.46,0.0027199999999999998,0.102,0.261,151.985
Kev,6UjZ2Yx2g2a52XxiA8ONxZ,Outnumbered,Dermot Kennedy,Outnumbered,0.614,0.684,0,-5.79,1,0.157,0.247,0.0,0.0976,0.258,156.85
Kev,4RVbK6cV0VqWdpCDcx3hiT,Reborn,KIDS SEE GHOSTS,KIDS SEE GHOSTS,0.585,0.597,0,-7.499,1,0.037000000000000005,0.33899999999999997,0.0404,0.195,0.22699999999999998,100.051
Kev,78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,Drip Harder,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.51100000000001
